,per_it_avg_total_length,per_it_avg_max_path_length,per_it_avg_fitness,per_it_best_fitness
0,59977.67558416755,6807.006923719787,409444000.05518645,238810207.1350859
1,54842.60413537959,4364.313160866403,239350299.00422335,238491957.93111345
2,54705.41040496154,4364.313160866403,238751542.60097152,237063217.10498038
3,54534.586970512,4364.313160866403,238006015.63781905,237063217.10498038
4,56296.24630031517,5946.619779027759,348122719.7636516,234916075.3309794
5,54740.45109222921,5081.502855991732,286179900.7649118,187532601.74693552
6,56125.44329518144,6152.215433755252,365152481.9440845,185568339.27140954
7,52322.51490297496,3564.583531023458,186507974.924874,185568339.27140954
8,52376.91657754493,3566.878618793601,186823023.30059138,185568339.27140954
9,52977.43772242344,4438.409579185738,243511830.87915096,178039662.45234084
10,51284.44305755514,3623.717332541773,185914770.54740214,178039662.45234084
11,51323.36049950735,3526.276802462244,180993265.13039264,170443206.66387
12,50494.976075832805,3393.882816515202,171374179.9924229,169800788.14778668
13,51282.771487931415,4316.777715887255,229668273.7983373,168164819.82221928
14,50613.70580876471,4244.850819547454,223161765.55572557,166679985.80901104
15,52676.613119783,6104.032583516577,342035293.1455878,165653825.3785642
16,50081.20655978452,4280.463019435364,222560110.8887095,165653825.3785642
17,48886.140812392965,3390.728492382025,165759630.5351805,165653825.3785642
18,50086.032753180676,4241.7519533217755,220521396.35663852,165456098.5043314
19,49065.17389283676,3439.863347596285,168825719.65172508,165456098.5043314
20,52383.492901828744,6090.645818362108,356799840.4252347,163796894.27916
21,48571.94932134058,3468.4233742023107,168474375.3903345,163796894.27916
22,49590.67001149918,4372.216524216601,225295820.27405915,163796894.27916
23,49719.83441971861,4276.640117960384,221353842.64667875,163796894.27916
24,49818.84845658336,4252.7420796840115,219540349.1758607,163796894.27916
25,51824.38880169679,6094.702430200634,353773728.4147952,163796894.27916
26,49441.817964204354,4263.672071901209,218942510.86824936,163796894.27916
27,49489.97428118681,4266.2643197030075,219973560.42556423,163796894.27916
28,49549.84612084867,4252.668117438873,218390279.3502884,163796894.27916
29,51701.30024872832,6001.606445518395,329935812.71228087,163796894.27916
30,48621.95955498392,3459.7494733313797,168260766.99300998,163734441.2896241
31,48535.766308628736,3511.4210704303996,170591829.9322478,161741353.7473452
32,49128.646604660185,4330.858989969862,222887018.14237747,161200041.52207282
33,49685.81548841091,5074.784109939421,266501162.5655105,161200041.52207282
34,48692.782316977646,4246.102561141906,214970081.31357765,160287069.80683163
35,47543.80369371139,3468.1931839707736,164948888.1049792,159807980.93916497
36,48393.012392142286,4241.7519533217755,213313602.1787996,159807980.93916497
37,47720.570967932865,3433.409819344501,163838887.02758163,159807980.93916497
38,47470.06164426796,3412.128331881657,161971263.11920682,159807980.93916497
39,47199.42102366579,3390.728492382025,160040421.68887872,158999809.27244052
40,48411.17882784613,4187.67424140217,210472179.86654347,158800880.5382383
41,47024.0092274856,3463.5760781795143,162966009.89161545,158800880.5382383
42,49139.55997990392,4336.725105665432,230814856.93240768,158800880.5382383
43,49338.14887684278,5220.569899094288,272151111.5917835,158800880.5382383
44,50470.230996221864,5258.152242754718,289228628.80218726,158800880.5382383
45,48185.929037631686,4241.751953321776,212895926.06990492,158800880.5382383
46,49533.50743514113,5321.323347303483,298542853.51077783,158800880.5382383
47,49154.1252510458,5187.012562396432,269915013.08896434,158800880.5382383
48,47150.08640505911,3537.62402929198,166881011.96604925,158445840.64698505
