,per_it_avg_total_length,per_it_avg_max_path_length,per_it_avg_fitness,per_it_best_fitness
0,59562.79351085799,6850.7151930653945,408220587.0666646,296304943.8197819
1,62439.80654724307,5384.455374387048,341704558.9237447,269851812.47882885
2,62996.734277490876,5638.977698953625,363502439.7282449,257679848.11082476
3,62789.07612267845,5724.493420504492,368148669.37500316,255704573.41500917
4,64073.66930082087,6123.947187564119,408636139.8746699,251115064.06438512
5,60788.268294752066,5101.580668774223,316132687.3720501,248423818.80531308
6,61688.24451770199,6160.9858071975905,391846544.58083963,248296870.96064436
7,60736.93683676775,5585.681580770897,348764324.12717164,247206241.27411363
8,58673.5848917141,4156.832183678551,243886066.51196736,204476780.70583642
9,58711.95820995043,3641.119799745503,213746315.16486922,204157380.52976578
10,60353.09143697326,4414.699225464133,278503199.2873657,202834222.43189272
11,59207.14478799251,4498.146196145085,272809960.7194018,202834222.43189272
12,58113.01282751733,3768.386357518074,219051418.6772356,198421026.268384
13,56920.12327108219,3704.4453718016935,210915632.35595196,195151798.498739
14,57860.01356719418,4985.468718038209,299751134.463408,179539351.59351468
15,56932.18543008651,4028.057029907931,234150027.7510876,179443285.62442595
16,59815.57097052309,6437.092046557676,402118838.756075,179001006.0975281
17,56709.657898236226,4078.0989040166533,237054226.83600336,177785925.60377613
18,57718.54929543201,4840.120865383472,288867213.40138036,171867529.52300364
19,58005.3307461916,4984.786508172776,300909665.271459,171867529.52300364
20,55825.17968534017,3322.9839864969945,185546513.49399525,166549678.95708358
21,56478.38389977807,4042.1047328759028,234560954.48962373,166549678.95708355
22,56263.96211039818,3675.250232400847,212252767.61449695,165427454.69112602
23,56024.47666517375,3904.5791699013243,225477198.55081725,164461624.15346426
24,57670.0124027327,5419.055155977565,326804449.4728035,164092173.87524307
25,54733.196042009615,3156.505756538811,172778604.16024476,163890679.07150644
26,57333.67627627667,5449.418127135791,326485456.46926546,163618686.01156682
27,58386.40738099486,5580.149224066744,345905112.1214119,163618686.01156682
28,57480.41405415428,5417.791049336866,325866242.2046881,163522358.81968772
29,54952.58060177526,3385.536088286803,186193261.23465204,163522358.81968772
30,56588.443122102064,4393.007686111833,258526138.1998374,154509568.967503
31,56444.761158440364,4430.076551732602,259641216.22151905,153960170.5896262
32,56591.63768464517,4428.177534752297,261393400.59623402,152517067.5689902
33,55250.840742877124,3852.590264534703,219628300.88732934,152517067.5689902
34,56050.88000078495,4542.328583353195,268055947.72133636,152517067.5689902
35,55213.57756213702,3705.814923011893,210521311.61068618,150893120.9555477
36,54935.95555950039,3749.184798950203,211451031.15628552,148663752.34972194
37,54996.147247243905,4298.584025767965,247493677.44436473,147338316.9819989
38,54503.227246206705,4518.328321483139,258317042.19766355,147305533.910404
39,53811.53403255976,3695.485353901085,205247649.9638387,145612659.65396243
40,54021.65435101524,4412.323474553994,249976068.83546028,137447632.18601
41,55648.65534421998,5674.511414456708,331830647.5100571,129226462.6791217
42,55195.74343570175,5152.404952804285,299202299.68472624,129226462.6791217
43,53129.67907333576,3515.488699340447,193828710.4466532,127850059.12045187
44,56510.177400050336,6049.853873178749,365010917.08941966,127850059.12045187
45,54381.31026205418,4964.2995034886735,284964365.3731091,127850059.12045185
46,56380.05109462233,6926.149248033554,409634040.76576895,127850059.12045185
47,52386.06434830404,3624.676007049597,197795268.6453604,126497526.96420899
48,52195.47466872657,3498.821627964199,188809611.40875956,126497526.96420896
49,54103.08499481746,5197.332127316801,296893885.7782454,126497526.96420896
50,53982.28497908858,5263.431609394993,300897844.4729026,126497526.96420896
51,54971.299389474865,3561.949774230423,227126805.61839294,126497526.96420896
52,51239.287524607535,2797.9455867075094,143307375.5310589,126497526.96420896
53,52035.14815072345,3499.8509652208313,189249913.28837243,124353555.02194041
54,52175.22671265213,3365.54208791365,181792698.68292722,124353555.0219404
55,51194.71209740382,2577.047436046657,131930151.00777073,124353555.0219404
56,52120.025255613284,3431.0330108773705,183886449.67278332,124353555.0219404
57,52898.58044356488,3498.3878428858807,201222274.4520054,121882439.53728306
58,53973.08500349661,5251.647257902078,304554344.7315976,121882439.53728306
59,53265.09976772972,5431.913897509256,306116570.1442667,121882439.53728306
60,52152.89347506011,4382.548052531891,241337673.55920333,121882439.53728306
61,55172.10251280598,6103.208387812853,361999015.46154433,121882439.53728306
62,51282.05302608508,3473.23211711832,184706985.9269654,116993050.54410121
63,49727.316649897686,2711.8024087957324,134837345.4006557,116993050.5441012
64,54480.48779422291,6095.730242049808,356359940.3127762,116993050.5441012
65,51383.75734613731,4271.7070147103095,230030007.2609695,116993050.5441012
66,51492.53456073564,4146.905714768791,224612751.95609468,116993050.5441012
67,51391.80482065518,4205.931110992288,228773804.75217637,116547865.30952078
68,50467.28815766709,3567.2870865033037,187264746.71798965,116547865.30952078
69,50352.92053019843,3541.5065018771434,184754760.8223819,114338366.10907288
70,50422.810799850486,3502.5541523895067,184141837.81305906,114338366.10907285
71,50285.52756059049,3295.309860595451,172752195.689922,114321894.08940475
72,53416.38986711963,5709.899540433087,324310987.3169846,114321894.08940475
73,50687.956373066285,3356.337603268364,177897313.25337052,112475120.61115447
74,52351.37255109191,5007.57778725627,277934320.96359193,112475120.61115445
75,51711.205377339546,4049.118172897301,222679847.72527257,112475120.61115445
76,49493.928697222436,2616.9539375081063,129608250.22165473,111878513.44764513
77,52195.80982350016,5034.075505566797,279371534.35009724,111878513.44764513
78,49199.77688842107,2485.701923620327,122388893.04181743,111878513.44764513
79,52252.36448130291,5030.724591061238,279386977.3035716,107792250.46643862
80,51258.67406923756,4020.3042903379705,217762758.468302,107155119.96162938
81,50018.75147089442,3406.7804618190303,177364440.00558284,107155119.96162938
82,51002.15987229986,4025.0989930262645,216612283.28065386,107155119.96162938
83,51286.05791423117,4209.149793882352,226021916.69453472,107155119.96162938
84,52203.39240185482,4298.529653576943,242350654.572308,107155119.96162938
85,50022.70065922884,3507.2651645701126,182863200.15587205,107155119.96162938
86,49270.8056307627,2631.343548706695,129747525.55941875,107155119.96162938
87,50352.40140238822,3348.0349283030364,175604385.61388063,106902989.19280669
88,53090.99354957916,5985.2987137092705,337894845.46885616,106902989.19280669
89,53681.30984636162,5641.78799982298,326918409.8171049,106902989.19280669
90,51212.92840896205,4490.61172436443,241571521.0440405,106902989.19280669
91,50101.07856510702,3380.4115726170085,175117079.55944595,105168520.25084874
92,51772.61499990844,5160.445945499779,283896002.26774216,103634951.4725224
93,50973.15697510686,5076.634250512525,289723909.85433054,103634951.4725224
94,49517.50179924296,3319.2455023695015,172409479.7263931,103634951.4725224
95,49541.711485970896,3290.277695636984,171999831.7101533,100122234.66352342
96,49452.29056205187,2921.8574841173167,150350180.03653756,100122234.6635234
97,50346.147885351456,3935.772989109502,212418123.04494974,100122234.6635234
98,49531.16556153637,3347.2499852097717,172578553.30081695,100122234.6635234
99,49408.61330812596,3070.236384730818,158330377.86843178,99710279.43791609
100,50164.54257660847,3929.2066360063895,209044013.934344,99234203.99300942
101,50056.69734080268,3778.019718357951,199723299.96376926,99234203.9930094
102,52491.13184042426,5029.516806297606,286839787.57666695,99234203.9930094
103,50355.2747459546,3932.00972452691,211536105.42346078,98800257.51754531
104,50367.572815709354,4019.0051784275647,213851594.65718913,98247837.73922889
105,50852.439176208645,4545.121487585101,262707331.68811244,98021315.02936609
106,48778.07411348255,3108.8185668692886,158419884.45253825,96803200.04451062
107,49997.53036435983,4829.212597041823,257623747.38298804,96803200.0445106
108,48458.6371187347,2991.40018108292,150836252.9183572,96803200.0445106
109,50038.28902391459,4141.163428735867,226520995.59338918,92564756.88537133
110,47471.87692093304,2516.61919269581,119525749.93604651,92564756.88537133
111,51939.96612645619,6370.677296649392,350520052.72383356,92138862.09468071
112,50098.937894901705,4926.683769045739,262795033.72236618,92138862.09468071
113,49801.70483721787,4844.580771308823,259052619.17534718,92138862.09468071
114,49923.38608630942,5111.686846403983,285334977.29907215,92138862.09468071
115,47961.93838804591,3038.7242076331527,152568391.5376119,92138862.0946807
116,48172.87040932012,3009.5351987739305,151846305.43539286,92138862.09468068
117,50775.809428345,4738.9208929235,263038439.92083994,92138862.09468068
118,49060.0527612657,3811.473764351837,200302390.47072008,92138862.09468068
119,49241.0333166131,3992.046710756178,208867798.97166467,92138862.09468068
120,48899.57531619452,4125.886226620574,214744115.32317787,92138862.09468068
121,51665.37715882964,5609.75428034639,329676456.0319592,92138862.09468068
122,49042.98167634431,4163.932017209027,217269658.0000034,92076649.7509934
123,49218.99028461358,3999.1597371494963,209158678.51379678,92001575.04751222
124,47945.11121708671,3058.268023343799,153352927.41990834,92001575.0475122
125,50617.02101755557,5572.001818808613,300916343.4588162,91532743.95914923
126,47724.65442866711,2966.8395667936534,147816397.4066511,91532743.95914923
127,48518.13774815148,4149.783269713267,213933658.59293094,91532743.95914923
128,49558.185358116265,4854.605455208099,256740207.497888,91532743.95914923
129,50567.275762331425,4832.770015252759,288061915.9083802,91532743.95914923
130,50847.116508102,5101.270269305298,284547612.6279018,91532743.95914923
131,46680.71050733988,2304.274110910861,107654584.23105356,91532743.95914923
132,46753.27389899533,2360.0288938229505,110382341.78298315,91532743.95914923
133,46737.75060176714,2151.1395833979627,100528491.26261549,91266153.35581048
134,46918.142529747995,2322.6080454937483,109042899.52031508,91266153.35581048
135,47704.389325490556,3290.1409788477285,164603969.18112057,90909448.44782078
136,46607.0854714023,2286.589656708042,106720000.13235144,90909448.44782078
137,47564.396195762216,3057.704746595485,152872550.1148346,90909448.44782078
138,47780.61372231088,3439.5962922728168,172307475.9195649,90909448.44782078
139,49420.77904845229,4900.691316309726,275100591.63506305,90909448.44782078
140,48587.48012884021,4007.846713444605,205610940.66339892,90909448.44782078
141,46282.9401066675,2253.4032350345133,104306122.57969448,90909448.44782078
142,47566.52594081644,3481.0281955932514,172240445.02305293,90909448.44782078
143,46283.042253058076,2481.5925860848847,114896042.19724067,90895339.8522588
144,49436.42419265856,4883.717408981911,257759041.32647124,89448931.50557832
145,46657.22940697597,3109.8134411072215,150867612.17303258,89448931.50557832
146,46959.329870864465,3100.8197972217363,153057554.3550654,89448931.50557832
147,47456.69334354029,3925.8459078368783,198502385.27344206,89448931.50557832
148,48989.11311922518,4861.813256664276,255185758.3652506,89448931.50557832
149,49403.806152937366,4776.0931462626895,273650911.0332253,88590002.55449906
150,49402.95881346169,5289.942748690237,279820969.02660894,88590002.55449905
