,per_it_avg_total_length,per_it_best_total_length,per_it_best_max_car_length,per_it_best_min_car_length,per_it_avg_max_path_length,per_it_avg_fitness,per_it_best_fitness
0,59457.932599292355,61589.69338716706,5279.027313249669,0.0,7672.311058590106,455945421.4574729,325133673.6055274
1,61800.316393758556,61316.77910637092,5279.027313249669,0.0,5279.027313249668,326245558.2101226,323692951.6630287
2,61316.779106370916,61316.779106370916,5279.027313249669,0.0,5284.123398012873,324005427.1667615,323692951.66302866
3,65527.94042095549,61316.779106370916,5279.027313249669,0.0,8169.030765049394,553042844.508591,323692951.66302866
4,61116.61219133371,60122.57500775528,5022.671517640632,0.0,5227.756154127861,319523096.8271209,301975945.058665
5,62128.961540021795,59602.671670421696,4648.128008853209,0.0,6474.771424350729,414259435.0937879,277040847.5937688
6,61925.61796097463,59208.776998777095,4648.128008853209,0.0,6147.187249800534,393583581.2392838,275209974.7379595
7,60349.803022546366,58981.25494407729,4648.128008853209,0.0,5432.4321163251325,335654879.3007767,274152423.1028775
8,61172.775320962784,58633.64425189356,4648.128008853209,0.0,6277.4763698225215,398140907.7950744,272536684.1083614
9,58584.49010857489,58447.217115507774,4450.355393353141,0.0,4608.573485753195,269992670.5402876,260110887.91648203
10,58544.893876577764,58152.61926265436,4289.08848438929,0.0,4434.228702456757,259607774.90125114,249421729.61652562
11,59665.27601272495,58027.32139015678,4289.08848438929,0.0,5124.90190878218,314019783.67604744,248884315.95447776
12,57869.12613524357,57088.00514944022,4243.950492882781,0.0,4284.574685238639,247948118.7191886,242278667.59166157
13,59378.24523978178,57005.381335302154,3974.246303868148,0.0,5915.4728307589585,365122880.2075519,226553426.0724189
14,58013.749701363195,56378.8604841948,3974.246303868148,0.0,4796.24550310825,286330918.02755374,224063477.8956092
15,56491.43192266092,55661.833955179536,3974.246303868148,0.0,3997.14955580552,225824973.31159967,221213837.86289486
16,55810.73711253707,55241.53704644912,3876.8384259686018,0.0,3969.469857304661,221547906.0849679,214162513.531242
17,57319.101533111265,54660.84082857004,3876.8384259686018,0.0,5595.136944002408,334612609.288638,211911248.11995375
18,55930.94409351512,54651.661518991314,3789.1631778761634,0.0,4776.338793082907,275510374.6642858,207084063.43751356
19,54686.33693317054,54908.08434943494,3553.949395137724,0.0,3779.4731095815246,206676982.66766423,195140553.16184542
20,56119.24040548899,54395.5894106962,3312.344611670373,0.0,4429.814600827134,256674288.2305409,180176937.48315355
21,54531.33102934264,54395.5894106962,3312.344611670373,0.0,3402.035969509164,185567762.15924427,180176937.48315355
22,55477.324592276476,53988.366968103786,3312.344611670373,0.0,4296.789764545109,247898157.18796152,178828076.41968134
23,54230.32651730175,53680.00214338421,3312.344611670373,0.0,3412.2207203771895,185039970.4372307,177806665.85409278
24,53905.53578093444,53597.62457860086,3312.344611670373,0.0,3312.344611670373,178553710.9831827,177533802.9712601
25,55846.1529051503,54162.44497781501,3205.6236781804882,0.0,5172.604613281663,303773539.17943585,173624416.08903167
26,55442.8427462305,54019.803095349256,3205.6236781804882,0.0,4085.580035529188,234832705.02856764,173167159.89309922
27,56259.43634868731,54019.80309534925,3205.6236781804882,0.0,5172.0538977412225,305956708.82501554,173167159.8930992
28,54234.732214327516,53856.566674804286,3205.6236781804882,0.0,3297.216542846917,178840012.02851415,172643885.3582588
29,55095.37800439321,53726.434647063754,3205.6236781804882,0.0,4192.045597013799,238262952.26489037,172226731.04884413
30,55957.220988432666,53660.578785473794,3205.6236781804882,0.0,4990.468634961424,293240567.4404477,172015621.93958437
31,56822.744002393,53402.79729536371,3205.6236781804882,0.0,5825.418199435438,348873050.6064244,171189271.49109083
32,53568.83781599985,53357.209711800024,3205.6236781804882,0.0,3254.3356006597182,174354577.4129919,171043134.85378805
33,56713.81779604133,53163.78894056224,3205.6236781804882,0.0,5027.937661974339,305835710.2731964,170423100.6496563
34,57680.995839512965,53163.78894056223,2977.530647484471,0.0,5850.4296408207865,363924384.3113662,158296810.90692002
35,54340.21236154986,53163.78894056223,2977.530647484471,0.0,4000.66059558928,226216299.438196,158296810.90692002
36,54556.66102950176,52838.81532923878,2977.530647484471,0.0,4024.986513691723,228807220.49992222,157329192.01958075
37,54085.707276888425,52758.93191678089,2977.530647484471,0.0,4080.3391399988313,229304850.34567952,157091336.71076173
38,56053.33043306174,52758.93191678089,2977.530647484471,0.0,4820.819646496111,292609308.60853565,157091336.71076173
39,55018.226777536096,52582.60122968519,2977.530647484471,0.0,4722.46829822657,274762078.2689116,156566306.6858423
40,53725.22925672383,51853.847319796965,2977.530647484471,0.0,3939.7333750976177,220265706.29513067,154396419.58467597
41,53240.07551032012,51655.02279039338,2977.530647484471,0.0,3825.36959522741,210609930.31228128,153804413.4549051
42,52811.62678661868,51292.94504294952,2977.530647484471,0.0,3819.776124487385,208862348.63298985,152726315.86511886
43,52548.06171551159,51223.89463737836,2977.530647484471,0.0,3924.4457198292744,214852529.3957191,152520716.1663095
44,54815.33239718629,51223.89463737836,2977.530647484471,0.0,4802.604241651344,286561646.2630552,152520716.1663095
45,56659.8080549843,51802.15683838808,2627.875866686365,0.0,7466.758864522853,447040658.8581134,136129637.79790208
46,53947.682959608,51029.12954756112,2627.875866686365,0.0,4569.842853481209,262115913.04640523,134098218.03604798
47,52226.58130679483,50685.865431872546,2627.875866686365,0.0,3670.949693433226,200242466.39566642,133196162.55053054
48,52326.90742751685,50685.865431872546,2627.875866686365,0.0,3846.0635078930054,212174938.514395,133196162.55053054
49,50905.17145037376,50021.20536410986,2590.4837249700795,0.0,2756.5712137071446,140440240.08083624,129579118.39911263
50,50199.87988434938,49963.65127670071,2590.4837249700795,0.0,2617.9504448334783,131429866.3416799,129430025.47237372
51,53462.85670730514,49963.6512767007,2590.4837249700795,0.0,4231.654798156483,246435065.17731094,129430025.4723737
52,50073.8413943274,49963.65127670069,2489.953979883348,0.0,2623.8136620555592,131384324.2194098,124407192.34592462
53,51292.31548515946,49963.65127670069,2489.953979883348,0.0,3661.3571183168215,196447181.26436877,124407192.34592462
54,51131.936657494894,49524.416710098725,2489.953979883348,0.0,3644.7079352473315,195545250.97592086,123313518.4887117
55,50024.330600898764,49524.416710098725,2489.953979883348,0.0,2905.052884559966,145553561.10503477,123313518.4887117
