,per_it_avg_total_length,per_it_avg_max_path_length,per_it_avg_fitness,per_it_best_fitness
0,59108.56652662591,7228.092210767072,426879546.83190733,267334224.65141383
1,59137.342199104154,4585.616512148899,271183858.16261065,264719812.68582487
2,59122.573962553186,4596.251678203465,271742821.97706056,262220317.1790901
3,58615.80184956944,4509.689018298972,264338478.63058844,246110481.05696517
4,59771.055680912476,5071.881854913552,312002412.69805175,238260312.1998092
5,58601.52988746535,4137.84098544413,242485021.31832275,219597960.56705874
6,58648.398952873984,3897.128949284061,228555793.57923016,214435690.159723
7,58618.044373195655,3699.1082781969917,216834493.1926067,214435690.15972298
8,60750.14301969425,5625.874808275597,357158992.5625569,189747236.29300663
9,58669.3596887275,3428.3269609491726,201150187.09179142,189747236.29300663
10,58574.590724034686,3450.216672753595,202137716.66522956,186725956.65839976
11,58692.288457076225,3393.2229332281468,199209704.87406382,186725956.65839976
12,58673.78743632625,3237.6636143463775,189992341.11026716,186470119.23975965
13,58593.99894826296,3377.5514057464025,197917469.84605885,170040932.7275965
14,58543.78487878285,3103.46676075511,181648372.27511156,170040932.7275965
15,58533.46980353427,3140.9909588177024,183856910.66584328,170040932.7275965
16,58525.60930534128,3212.2299647571263,188001596.05125716,169568205.97315592
17,58374.991123895066,3106.5177504980134,181342946.111544,169568205.97315592
18,58381.30070067388,3145.2671495450586,183609091.03642234,169568205.97315592
19,59494.356663530765,3893.223662217173,238753849.3704059,169568205.97315592
20,58367.09639014632,3078.9660842789062,179702511.97965348,169568205.97315592
21,58374.991123895066,3184.4983139809888,185895060.81269902,169568205.97315592
22,58413.65717525531,3331.256746409936,194579378.61464223,169568205.97315592
23,58411.858444762955,3045.8908318155145,177913627.9564268,169125277.76912996
24,58249.94900624603,3208.8761452133076,186905315.56588823,169125277.76912996
25,58224.22206252641,3269.296963372607,190359502.04526943,168965169.91932437
26,57982.427940192065,2989.0073133866013,173314408.0469586,168197555.6383501
27,57893.88395074159,3262.975927156059,188966178.21211055,168197555.6383501
28,58865.19950179554,3959.3737758526986,240782076.27538443,168197555.63835007
29,57693.32662240321,3183.5407598890556,183683983.1698062,166398913.76525885
30,57144.13047117765,3141.7590862393463,179541326.58578956,166289005.18968108
31,57245.0266397804,3175.5389553572522,181849116.59220368,166289005.18968108
32,57071.68884219156,3238.510247160087,184826606.31147155,166289005.18968108
33,57083.44509371782,3116.4714419973507,177935630.77341294,165055694.80748647
34,56725.80342242543,3076.2165009110226,174533528.16240713,149416098.1436045
35,57625.53296701149,3989.709168111516,237916363.44037637,149416098.1436045
36,56660.66766009348,3083.2436595102963,174698644.3066033,149326853.5551585
37,57736.26497913167,3828.3401355115266,228933400.3255628,149326853.5551585
38,56679.684121491446,3123.7063127460915,177077379.97065902,148832722.7176605
39,58628.83918942106,4805.373329067986,297548291.2458181,148285102.34967634
40,56315.65148450184,3143.7269550399037,177019901.6259649,148285102.34967634
41,56459.931182087996,3133.062412367998,176969028.18352452,148285102.34967634
42,56314.02692257692,2818.6628875261804,158738071.46002325,148007064.157246
43,56249.91109189197,2999.8593639341298,168766756.5437107,148007064.157246
44,56170.33525097584,2955.827686198271,166020916.13563076,148007064.157246
45,56192.57610187412,3135.8017451519713,176212026.7275043,147652537.72654107
46,55984.572137813666,3090.6001315038347,173044492.20874232,146577477.2704957
47,55635.91590197672,3192.2339091010704,177654768.1086793,146013047.203478
48,55454.847546722725,3202.548063129504,177595041.81540057,146013047.20347795
49,55484.213302524935,3083.2938042170663,171101446.13312173,146013047.20347795
50,56413.394112057416,4097.022101452388,239586256.4708613,146013047.20347795
51,56427.12557633223,4400.886694858478,256236064.1534872,146013047.20347795
52,55365.51159191524,3281.584212404323,181647497.2480455,145602089.3097843
53,55497.37674281998,2940.659137974179,163200049.47358865,145602089.3097843
54,55442.31984353366,3129.1681605679823,173480822.58391052,145602089.3097843
55,57503.931713069906,3973.8708624776627,245752207.95613152,144365745.96763942
56,56022.87721825256,3618.856167305118,210401083.62505856,144365745.96763942
57,55031.06703550472,2935.9104513545635,161580593.04224682,144365745.96763942
58,55061.098268019516,2922.6596480071885,160947121.09330297,144316610.74931997
59,55978.054852441186,3794.8115476319012,222055512.91955584,144316610.74931997
60,55029.97684598934,3087.5561747930637,169917357.3770228,144316610.74931997
61,56026.697542401336,3927.691660435281,229177673.59439206,144316610.74931997
62,55068.40667004348,3019.7586354359037,166355557.04651266,144316610.74931997
63,55983.9039220515,3884.8350586976185,226210926.40530497,144185147.5472958
64,55969.00218838929,3932.5418264455134,229283351.03110328,144185147.5472958
65,54924.34355552264,2866.2216421241765,157418365.5888533,143336982.8388592
66,55977.99812890935,4035.6915296758366,235097585.23472047,143336982.8388592
67,55991.91818483708,3865.758288001999,225250502.34371004,143336982.8388592
68,54932.69961382486,2803.060018222344,154015661.41461372,143336982.8388592
69,54880.015378161545,3008.8566231444597,165146500.17940557,143336982.8388592
70,54786.038478859045,2934.5545101973657,160771272.40958375,143336982.8388592
71,57938.588295855174,5764.910707289117,372615453.07072437,143336982.8388592
72,54861.81971901702,2937.854787771197,161171886.0457225,142542585.53931612
73,54611.409096764866,3052.08931214027,166700452.70772022,142542585.53931612
74,54421.3107731059,3131.222494417963,170348681.07037386,142542585.53931612
75,54478.20311812207,3056.906294268295,166534762.01221403,142542585.53931612
76,55573.78229263933,4143.609247197726,238574719.37189636,141797033.23407313
77,54387.67115908147,3113.662448679546,169470080.76337132,141408958.8391116
78,54081.10583507597,2994.8883628075687,162061270.73182717,139746726.87823585
79,53446.50011601237,3141.91307833373,167934165.70510945,139746726.87823585
80,53434.5013912522,3143.720533961052,167970040.8304165,139746726.87823585
81,53693.84332800709,3177.77208376464,170557557.47944504,139746726.87823585
82,53709.23028211949,3182.62928279109,171067629.31795827,139746726.87823585
83,53409.65679246363,3027.0880230502553,161675732.3916914,139746726.87823585
84,54583.35221582709,3946.556909870179,224470287.8210557,139746726.87823585
85,53539.81531651002,3067.8473578619596,164282582.2063456,139746726.87823585
86,53543.16808659913,2866.3939388941444,153480181.78031626,139746726.87823582
87,53621.738491170516,3013.478632394496,161581237.1628161,139746726.87823582
88,53419.668309164386,3194.112287555802,170622923.95665184,139746726.87823582
89,53463.271783317985,3273.0212799529195,175029916.5056075,139746726.87823582
90,53409.65679246362,3082.1647651003004,164617362.28183132,139746726.87823582
91,54507.52169586315,4067.421415068601,231016048.30144396,139746726.87823582
92,53500.20206922137,2931.3770943691516,156855968.23486334,139746726.87823582
93,53360.73369252187,3027.8322901413067,161595829.4343096,138283136.7555937
94,52947.14475055468,2956.2875005795668,156611896.03776807,134658730.36820808
95,53925.98240046812,3711.089815816528,207621846.12227973,134658730.36820808
