,per_it_avg_total_length,per_it_avg_max_path_length,per_it_avg_fitness,per_it_best_fitness
0,58241.46209958962,6452.698023378058,375607141.4221893,294017945.9481232
1,57815.48693005075,5156.393890938125,298121731.9021052,288980470.4057914
2,57847.90041318616,5699.27960854257,334847689.1899783,288980470.4057914
3,57002.574682845756,5041.690046791369,287365940.2446164,269013680.77191997
4,57631.39284990262,4678.2451000351975,269613449.197595,250190553.33551583
5,57629.87623475932,4350.332542714513,250711538.40088525,250190553.33551583
6,57583.19591604349,4448.939645278452,256194693.3587049,250151607.68201485
7,57698.31544320076,4502.936142537775,259826414.86461872,250151607.68201485
8,57518.26372915157,4401.786310780501,253193674.07679373,246885357.68684015
9,56774.066288367365,4345.6591206510475,246720738.98249084,245239170.64334694
10,56590.46969434551,4354.008180071108,246402633.80944204,231986862.02039015
11,55963.85196610381,4147.7734836169375,232125676.72369424,230608991.73923397
12,55738.33283115049,4128.049411915012,230091390.83025765,223009199.26304507
13,55670.6458240223,4005.2075224949426,222972489.43652576,221339911.36788863
14,55326.03508226477,4034.24979568393,223197215.97307223,221011661.03367463
15,55177.16109659552,4034.763105282748,222626889.5565402,220854857.63692483
16,55298.02352544813,4031.3353605076954,222948505.14932114,220854857.63692483
17,55209.70681968409,4024.7722797164665,222211731.4249751,212964805.82216302
18,54411.83418779833,3875.395191536377,210870835.94863257,201729788.15723327
19,54190.203575117535,3729.0562886288863,202078824.85227945,200575192.3582701
20,54913.99538768949,4372.265489510147,246384007.88986835,176930092.85140848
21,54945.85247883932,4023.440361662785,227385420.24359655,176604189.5149477
22,55713.46399328749,4842.886293609724,281393871.82494795,176604189.5149477
23,54033.432174323985,3354.0033725487715,181200920.2728389,176604189.5149477
24,53977.86453571227,3337.811166854636,180167371.305545,175348636.11374506
25,54389.87989722707,4062.499669561503,225953051.49204355,175348636.11374506
26,55365.96479358885,4827.508883266661,278497411.25660294,175348636.11374506
27,53440.556240091064,3356.3147131956343,179363935.3455833,174918006.33574334
28,53326.62586206138,3422.166387364049,182507118.03063416,173519093.4322786
29,52932.309856318476,3320.461048935201,175758028.61764127,173519093.4322786
30,52902.78288052742,3316.6223028146487,175462373.84029913,173519093.43227857
31,52884.77386700253,3312.502451741486,175181139.72381395,173316285.16126412
32,53797.37379881153,4021.9844808957832,222556119.41809565,173316285.16126412
33,52853.897456570136,3345.837846314581,176838957.471442,173316285.1612641
34,52887.12178807125,3299.624071151827,174510476.68175906,173316285.1612641
35,52860.36750357536,3279.416054046441,173351326.40493733,172260809.8533244
36,52683.52973624328,3289.0591452565945,173284886.07479692,170525338.30331624
37,52303.61147368459,3366.1347665886497,176086387.1564304,170525338.30331624
38,52237.26042804116,3381.0089547057128,176608377.35257682,170281031.1358197
39,52107.08318781419,3297.527672290057,171824548.73413727,170281031.13581967
40,53927.601949545344,4761.352650347008,267583183.15068236,170281031.13581967
41,52172.51905540015,3291.529281080029,171733315.57625347,170281031.13581967
42,52133.3720780991,3267.905641965424,170366940.7487028,170281031.13581967
43,52146.770928399455,3335.513470759329,173933573.68630666,170281031.13581967
44,52181.445212005594,3267.905641965424,170524039.21422276,170060552.49858192
45,52037.81941079158,3267.905641965424,170054683.64810365,170001863.99379936
46,52114.54625131128,3267.905641965424,170305419.7231282,169279944.53186765
47,51857.69039402579,3311.7559019566797,171736042.1553735,169279944.53186762
48,51879.919232245564,3345.3401217994315,173555019.2963779,169279944.53186762
49,51909.211623239156,3445.258120477642,178821446.81751004,167898199.20453137
50,51370.35973777775,3267.905641965424,167873488.41687736,167651091.32799134
51,51342.20576074235,3267.905641965424,167781483.87647963,167625987.35068938
52,51244.676062217084,3266.382771352664,167385078.48319563,165931676.26435965
53,50987.26404629274,3252.6769358378233,165845097.78484952,164443821.34711403
54,50714.43209918357,3252.6769358378233,164957663.60312778,164443821.34711403
55,52473.07744180586,4838.501429510725,280691331.7379482,164443821.34711403
56,50725.59183231471,3252.6769358378233,164993962.60969353,164443821.347114
57,50631.75030012707,3252.6769358378233,164688726.4223231,163773054.12885103
58,51287.76794782836,4000.540911491579,211489125.5148007,163773054.12885103
59,50441.098141782495,3252.6769358378233,164068596.544108,163455257.27557355
60,50341.97082133016,3295.736807853385,165910329.9595621,160552643.78017345
61,50221.789479909035,3198.372646261102,160627997.71882468,160552643.78017345
62,50372.86882275367,3218.5865099079774,162125905.9206515,160552643.78017345
63,53030.5541328219,5585.484798223771,325874379.5985367,160552643.78017342
64,51237.27073109398,3967.361914920833,210004627.46683714,155746143.2244871
