,per_it_avg_total_length,per_it_avg_max_path_length,per_it_avg_fitness,per_it_best_fitness
0,38634.51060212953,5125.401615545832,38634.51060212953,36637.9404579353
1,37638.80849742801,5030.013833128833,37638.80849742801,36323.177149897514
2,38072.84330690353,5711.917784242061,38072.84330690353,35336.59434806429
3,37125.39251128882,5173.84645174466,37125.39251128882,34837.29253770058
4,35279.88397647932,4595.960636978192,35279.88397647932,34837.29253770058
5,36054.97796651218,5135.250573879084,36054.97796651218,34557.63059460755
6,36837.68668869224,5603.172940281776,36837.68668869224,34344.06778797351
7,35296.486715644125,5030.013833128833,35296.486715644125,34344.06778797351
8,35969.416196487844,5647.672153118551,35969.416196487844,33549.86127570364
9,35390.19821659611,5617.833133355785,35390.19821659611,33447.02448467908
10,35504.07319366598,5487.694978830799,35504.07319366598,33260.43678511889
11,33528.34774672972,4519.150022019499,33528.34774672972,33260.43678511889
12,33480.725636646515,4733.97754834066,33480.725636646515,33260.43678511889
13,34307.56486821553,5119.559619776452,34307.56486821553,33095.566007162255
14,33126.75207567208,4595.960636978192,33126.75207567208,32395.116992331175
15,36147.121604012864,6635.53421667087,36147.121604012864,32395.116992331175
16,36239.63942702672,6741.540895945864,36239.63942702672,32395.116992331175
17,35173.39783805779,6003.74554662051,35173.39783805779,32288.82336207328
18,33511.06869084612,4639.890379673916,33511.06869084612,32191.176400529002
19,33308.537624663,4445.926112256387,33308.537624663,32191.176400529002
20,34792.619849705115,5669.186171441718,34792.619849705115,31776.834711998563
21,31809.535646962388,3918.9951731073297,31809.535646962388,31776.834711998563
22,33733.83884993065,5375.530023989375,33733.83884993065,31531.76739298249
23,33398.14350405985,5081.985486652088,33398.14350405985,31280.861133029117
24,32284.397249905705,4511.349087359875,32284.397249905705,31113.532646330197
25,31589.109247471213,4027.2044521723706,31589.109247471213,31113.532646330197
26,32254.348960328374,4420.744915645056,32254.348960328374,30538.006923420093
27,32607.05566077893,5170.016890653519,32607.05566077893,30415.415855065614
28,32296.607215062086,4922.494658182783,32296.607215062086,30415.415855065614
29,30743.82772931545,4032.075284161316,30743.82772931545,30271.698815334144
30,31401.01494161616,4528.29682138462,31401.01494161616,30271.698815334144
31,31659.38270253858,4546.646414301475,31659.38270253858,30271.698815334144
32,32033.77167157003,4570.613068383556,32033.77167157003,29437.401358069794
33,31238.580166296982,4948.311426550792,31238.580166296982,29307.307808555102
34,30666.169004219613,4570.038316453653,30666.169004219613,29307.307808555102
35,33207.44398649123,6412.969338809426,33207.44398649123,29307.307808555102
36,30621.547861781284,4632.439305226373,30621.547861781284,29307.307808555102
37,32374.449899248204,5698.146056924102,32374.449899248204,29307.307808555102
38,30403.961453525437,4608.272065106956,30403.961453525437,29307.307808555095
39,35727.564480093606,6513.112639202337,35727.564480093606,29307.307808555095
40,29588.346987482702,3940.8833612741605,29588.346987482702,29202.668622592944
