,per_it_avg_total_length,per_it_avg_max_path_length,per_it_avg_fitness,per_it_best_fitness
0,60113.547403316814,6479.264055567031,60113.547403316814,56781.4683709984
1,56972.79714914518,5839.734713842547,56972.79714914518,55856.075794165
2,56029.93296449032,5668.014235475923,56029.93296449032,54861.90639428413
3,56250.13594851979,6338.336223380235,56250.13594851979,54750.007902100195
4,56911.755822529216,7025.830098288391,56911.755822529216,54715.396774136454
5,57969.10582217654,7826.300367619248,57969.10582217654,54137.977403090445
6,54396.21754950896,5700.358906811957,54396.21754950896,53506.10803597491
7,54831.98715958294,6232.713943959743,54831.98715958294,53463.19019631601
8,57907.09816446171,7876.878450462168,57907.09816446171,53052.496203014976
9,56458.767389697234,7378.8164908453255,56458.767389697234,52642.23356758033
10,56260.58432523698,7510.083504842111,56260.58432523698,52470.55764496818
11,54058.66261871932,4460.021526383608,54058.66261871932,52470.55764496818
12,54976.38251172843,5252.338539566515,54976.38251172843,51839.14512269645
13,56653.81535433349,7043.761090278106,56653.81535433349,51831.80906082182
14,55190.66837709253,6164.8940292177485,55190.66837709253,50826.86749795805
15,53363.19024024644,4485.084873487007,53363.19024024644,50413.52340944448
16,51977.96567179684,4515.189684001341,51977.96567179684,49933.77626382384
17,51198.63520289023,4497.947356792798,51198.63520289023,49794.86627635533
18,51754.95303709855,5430.497204239134,51754.95303709855,49304.50955822358
19,50794.91752170755,4374.25057477593,50794.91752170755,49304.50955822358
20,56091.93883112079,8702.870449415112,56091.93883112079,48921.94693761159
21,52645.882963139346,5881.599040989061,52645.882963139346,48921.94693761158
22,53523.88187461581,6474.372856079723,53523.88187461581,48921.94693761158
23,53664.26538202326,6743.571853654687,53664.26538202326,48921.94693761158
24,52937.04697050882,5730.474272430827,52937.04697050882,48921.94693761158
25,53981.75301724802,5983.58465893979,53981.75301724802,48921.94693761158
26,50448.6111683313,4039.840276674434,50448.6111683313,48655.125637318175
27,52271.53725061491,5837.312832748446,52271.53725061491,48357.304976108244
28,53472.39948803365,5930.301259408171,53472.39948803365,48357.304976108244
29,49976.74339636659,4004.734389932043,49976.74339636659,48357.304976108244
30,49720.77151341221,3936.750252339699,49720.77151341221,48191.6938734222
31,49701.96572800571,4205.171316510673,49701.96572800571,48191.6938734222
32,53389.85758759475,6748.5350329061675,53389.85758759475,48191.6938734222
33,51800.06649366999,6092.1769964112955,51800.06649366999,48191.6938734222
34,50588.07079346228,4881.140147533838,50588.07079346228,48191.69387342219
35,51513.12204880982,5695.360164149634,51513.12204880982,47644.63498841419
36,50250.53686016928,5058.914642371623,50250.53686016928,47642.303678769276
37,48963.39912218541,4146.757299448963,48963.39912218541,47274.90933732809
38,48701.637972595774,4184.088866202983,48701.637972595774,47095.56810451616
39,49493.97151477177,4854.686835702033,49493.97151477177,46626.10861772332
40,53748.796773134076,6880.152078061798,53748.796773134076,46626.10861772332
41,49266.10293141396,5067.190027852086,49266.10293141396,46348.88726741455
42,49863.4785150305,5910.593232854302,49863.4785150305,46238.27330218649
43,52820.313538655384,8584.343423266346,52820.313538655384,46238.273302186484
44,49726.035932421815,5749.678551625061,49726.035932421815,46229.33451500725
45,46543.34895485833,3228.0794003207043,46543.34895485833,46229.33451500725
46,46297.44129333342,3194.322487130209,46297.44129333342,46074.22579310514
47,52877.52465091522,7785.111871335006,52877.52465091522,45841.695565548674
48,49578.134658294475,5906.620966912339,49578.134658294475,45841.69556554867
49,49558.48099530993,5926.987735766156,49558.48099530993,45716.72290349126
50,46413.60222184718,3529.9820837827237,46413.60222184718,45707.08161548489
51,47355.532994528156,4279.840617067084,47355.532994528156,45707.08161548489
52,51451.44805145367,6657.1184339805895,51451.44805145367,45707.08161548489
53,48469.54299276324,5175.129756555561,48469.54299276324,45707.08161548488
54,50434.34287766711,6777.695267460859,50434.34287766711,45707.08161548487
55,53679.84215137095,7934.720074321485,53679.84215137095,45707.08161548487
56,46220.11008964005,3415.388768778158,46220.11008964005,45707.08161548487
57,46240.43747336703,3383.274794604593,46240.43747336703,45707.08161548487
58,50164.737068182294,6747.635930854383,50164.737068182294,45573.16637986545
59,47668.33090870261,4823.504063759949,47668.33090870261,44885.695235573105
60,50428.24088170473,6617.012964112272,50428.24088170473,44773.175062997376
