,per_it_avg_total_length,per_it_avg_max_path_length,per_it_avg_fitness,per_it_best_fitness
0,59816.45293414772,6935.854175072904,59816.45293414772,57203.50923775409
1,57250.446710241275,6497.212960100414,57250.446710241275,56883.47741483017
2,58128.27668717799,6987.359206743527,58128.27668717799,56204.8577065349
3,58352.13369741583,7607.798305573432,58352.13369741583,56018.76253387574
4,58429.284226553966,7707.400091668687,58429.284226553966,55981.42775932517
5,59739.27362872375,7565.977382641211,59739.27362872375,55647.87330163499
6,56942.93218149623,5884.721674920111,56942.93218149623,55647.87330163499
7,57122.705111711766,5869.839848780846,57122.705111711766,55032.85534051244
8,56328.36656942378,5777.627260031311,56328.36656942378,55032.85534051244
9,58805.85530024949,7343.970117427021,58805.85530024949,54353.39197105949
10,57757.99757694076,7334.099201505973,57757.99757694076,54128.72963930936
11,55486.15162470275,5857.38881640163,55486.15162470275,53284.828802900185
12,56425.26018351185,6679.853711535099,56425.26018351185,52219.31322642555
13,54680.39015687046,6074.559447963449,54680.39015687046,51571.304256530864
14,53002.23214522549,5592.11515629048,53002.23214522549,51223.14380810364
15,53843.15781859192,6491.446188295591,53843.15781859192,51203.3299572418
16,54680.61107194725,6927.942007500649,54680.61107194725,50802.75371406217
17,54417.73279231216,7125.561649637479,54417.73279231216,50741.19008822696
18,56354.707539219744,7230.943272747585,56354.707539219744,50596.51203927746
19,52444.802634906475,5603.89327515396,52444.802634906475,50596.51203927746
20,50842.79843589595,5216.314802681023,50842.79843589595,49934.086771287584
21,55466.9658098064,7403.9534520718535,55466.9658098064,49925.659744646306
22,53639.9009246532,7376.727373813253,53639.9009246532,49925.659744646306
23,55707.664470616626,7645.5046762913435,55707.664470616626,49700.750356212935
24,50246.53809662381,5333.169226030183,50246.53809662381,49700.750356212935
25,52693.911247868746,6068.034229650284,52693.911247868746,49700.750356212935
26,53150.795737919994,7319.539096769037,53150.795737919994,49646.82699959869
27,55252.30853409223,8355.966651656396,55252.30853409223,48893.33773055225
28,59967.58192014316,9906.556467969871,59967.58192014316,48893.33773055225
29,53765.95310288384,7522.9550811502095,53765.95310288384,48893.337730552244
30,52224.439377732706,6022.306239076546,52224.439377732706,48893.337730552244
31,52550.19100189089,7047.018956875506,52550.19100189089,48893.337730552244
32,52943.210025326465,7120.255737931596,52943.210025326465,48893.337730552244
33,53567.73628159079,7531.31377786884,53567.73628159079,48632.00948026887
34,52278.10469020741,7381.842047189153,52278.10469020741,48400.957777908196
35,56161.57394114109,7883.583877041895,56161.57394114109,47480.36332346737
36,55222.08717831188,10243.810769020578,55222.08717831188,47480.36332346737
37,54532.37577804442,8560.814103057364,54532.37577804442,47480.36332346737
38,51198.66623997594,6460.958596116869,51198.66623997594,47480.36332346737
39,52622.46439837548,8197.63994913346,52622.46439837548,47480.36332346736
40,53558.69866937683,7732.836917320799,53558.69866937683,47480.363323467354
41,52428.853958370244,7666.2995715164625,52428.853958370244,47480.363323467354
42,50259.44069950377,6678.039499241842,50259.44069950377,47451.49811111804
43,53356.540368023445,8675.444535694198,53356.540368023445,47437.56355162383
44,56616.594583578604,10077.561759077067,56616.594583578604,47372.115618110736
45,49244.29311473077,5884.47893573219,49244.29311473077,47372.115618110736
46,49129.794733421455,5776.114378857278,49129.794733421455,47372.11561811073
47,48920.98340825893,5424.478584706791,48920.98340825893,47262.34529820526
48,50714.31926851233,7089.609433372969,50714.31926851233,47046.12577586541
49,51541.853095194834,8227.00155367596,51541.853095194834,47046.12577586541
50,54062.79371820433,8806.343338791678,54062.79371820433,47046.12577586541
51,49429.606231253674,6186.5366487151205,49429.606231253674,46914.44136092175
52,52140.70296633411,7637.513149289643,52140.70296633411,46914.44136092175
53,49513.40998877464,6478.7440086134975,49513.40998877464,46466.59089856537
54,48139.875851764606,5691.26904594839,48139.875851764606,46466.59089856537
55,48073.6770204608,5658.281306079797,48073.6770204608,46313.77939088083
56,51659.24628897388,6411.852175125021,51659.24628897388,46313.77939088083
57,50794.67540888554,7895.916495654414,50794.67540888554,46194.95891332817
58,52835.0348701179,8931.244099274223,52835.0348701179,45319.28802943579
