,per_it_avg_total_length,per_it_avg_max_path_length,per_it_avg_fitness,per_it_best_fitness
0,59114.023841918075,6592.851020101545,389716673.54533064,332821581.2169115
1,56991.63191755475,6539.367923297459,378834500.0252572,301545568.01927185
2,58176.89277839391,6785.279089859692,405942844.1047645,299185137.76234746
3,55816.30654260473,5368.445922007626,299646823.24017394,295349919.62364125
4,57118.13190497491,6745.239536689909,396978388.4489974,286250621.21403575
5,53781.24268843172,5432.442536553924,292158436.1924156,285915792.4271234
6,55491.16519254675,6819.155327308368,391536783.4373728,282476356.0000929
7,54033.510091416,6184.8650335048715,340572555.47958326,282476356.0000929
8,55421.128579046344,6182.737926544476,356210701.9341538,280725796.7223887
9,53539.78432513586,6057.827095693299,331203553.618725,280620219.4597403
10,53749.88456966473,5973.661871758179,326470434.0928018,280620219.4597403
11,53155.69963489807,5506.167676245922,292864619.2991107,278530474.0660446
12,56451.319827456166,7402.443712395703,438655864.2974558,273610067.39487666
13,55960.82689419674,7332.530183820035,426516590.80634314,269646532.52402353
14,52749.295726477365,5931.147100268854,319161069.5429472,269445220.3932722
15,52762.79009663696,5969.401797834515,321856232.5831966,266499503.07751268
16,51109.636508514544,5275.37062414416,269637574.7896958,263668861.1362547
17,51497.325383724754,5985.004786610068,314737251.6188954,255565371.12550452
18,51990.24505743535,5772.625614587069,306231101.8265053,254709217.8785473
19,54757.52771826667,7812.512346167156,446322570.29523695,235430576.57814997
20,51350.08786032401,5466.627067294006,287263382.58649576,232426444.06656215
21,51890.47967240251,6373.966121495749,345623466.12646323,232426444.06656215
22,50652.240352690416,5468.3312840763565,283692851.28839797,232382944.37321395
23,50410.1032164089,5567.604692768835,288878000.7180756,232382944.37321395
24,50772.01122006906,5530.570225880123,288179337.8889634,232382944.37321395
25,50630.124801577105,5505.715684410614,286098259.88887155,232365298.71160966
26,50317.98652386268,5476.175106585588,282765199.01826686,230820709.149766
27,50522.53657753613,5455.808701012046,282324699.6243375,229708668.3496272
28,48690.491542263786,4736.7979137100165,230637018.75491023,227433508.9588418
29,48384.25506762592,4796.482541414701,232124504.26509982,226933281.44301295
30,48427.85378904233,4740.093138838143,229550934.9488147,226933281.44301295
31,50714.44945437817,6145.776787650457,325452654.5769018,218330009.71196005
32,51547.2929366186,7005.790316537857,377910449.0143329,218330009.71196005
33,51962.35456193448,6908.455440866923,377197503.70859087,218330009.71196005
34,50352.318855897225,6115.52600848918,321393267.80152714,218330009.71196005
35,50240.16787860796,6062.955552214083,316808881.704515,218330009.71196
36,50482.77261944952,6102.970687956682,320194850.5513638,218330009.71196
37,48819.05185662075,4868.250732740892,238057176.8496701,218330009.71196
38,48405.70939557754,4657.381561453336,225449225.96542555,218330009.71196
39,48970.11092722432,5322.27394729332,268285118.54320973,217486591.0825063
40,49148.972621993074,5409.593744852374,273521188.00736386,215532404.72811103
41,48100.984070661834,4594.121959940088,221025157.2594698,215075409.63594875
42,49823.0584449263,6195.054243393521,321178393.6603321,214017976.1339941
43,48286.38179927013,5381.810859290044,266665753.44854745,212082523.8009515
44,49957.29673335285,6216.157048419622,321300478.17118806,212082523.8009515
45,49148.40534834711,5989.604455375599,307369902.39396256,212082523.8009515
46,47822.32131899241,5318.192018103313,261622830.42258564,212082523.8009515
47,48179.04039281496,5373.742412548641,266782005.3155304,212082523.8009515
48,48015.04386991145,5380.674038679304,265492946.2087683,210427311.2242527
49,47922.60986316664,5433.2640381138835,267553494.92501253,210427311.2242527
50,49035.742881675986,6148.757711901473,314963338.45834297,210427311.22425267
51,47622.41395370484,5340.910575866132,261083442.44381547,210427311.22425267
52,46561.39689235625,4572.868156563474,212919129.17416936,209640081.42732674
53,47579.04839423229,5295.4037728418825,259602349.88245568,209640081.42732674
54,48509.29574535224,6149.681968194282,309748096.88818085,209640081.42732674
55,52034.37198063828,7595.457098635178,419277325.932576,209640081.42732674
56,48621.966355985256,6089.032629650637,308706493.1603343,209640081.42732674
57,48833.060084982644,6062.65142088228,308926054.70460504,209564971.14269766
58,48915.12839050599,6181.943637364637,316099751.8422493,207932775.5078438
59,47127.1479587744,5337.99378198962,258290419.74049735,207932775.5078438
60,47632.60445374293,5331.936537718318,262574678.89862555,207932775.5078438
61,47081.973163209754,5309.653770976656,257847144.10076523,207932775.5078438
62,48642.957335822044,6064.995731429876,309919273.2576968,207932775.5078438
63,47166.07693057431,5322.511555419541,258994406.043914,207932775.5078438
64,46233.875596739825,4615.589158217972,213466462.8753144,207932775.5078438
65,48549.409094666094,6325.98283011202,320014425.60940045,207932775.5078438
66,50809.978354578096,7691.10466338704,409816663.34969187,197059749.43830824
67,52039.84814927507,6668.787439916754,371853476.850464,197059749.43830824
68,47548.869174346524,4171.360820511465,198343489.93349445,192408932.85887507
69,51264.32596119637,7397.814921330329,399728508.29165155,192408932.85887507
70,48872.4451999617,5730.680909088617,293316876.07881194,192408932.85887507
71,48194.51173574887,5219.781795078668,258654929.48848143,192408932.85887507
72,48880.20760511728,5774.293968942793,296692488.8476037,184215592.2875363
73,53650.64616329699,7347.210412938284,428066554.7085271,184215592.2875363
74,51269.633564853524,7206.0382647830775,390282922.4260979,184215592.2875363
75,48377.241823425575,5111.219271987495,256330831.75133485,183484035.70617908
76,47125.24968965458,4062.9389618033238,191573330.55461377,183484035.70617908
77,46359.14915459609,4063.9034796552323,188462223.19211492,182121747.87992758
78,52873.231641779945,8217.750621452758,456851400.7568697,182121747.87992758
